Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,Tester_id,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-08-13T15:15:40,environment,1.00,Normal,-0.92,65.89,349.36,424.28,495.98,568.06,291.64,RPB1,-366.37,136.17,40.03,26.52,25.31,3.37,7.73,4.80,2.82,2.74,5.32,0.89,2.77
2025-08-13T15:15:41,environment,1.00,Normal,-0.92,65.83,354.98,544.52,304.63,422.14,473.82,RPB1,-368.19,135.06,41.00,24.21,23.63,4.28,6.40,4.19,2.56,3.67,7.11,1.65,2.51
2025-08-13T15:15:42,environment,1.00,Normal,-0.92,60.54,357.56,522.30,438.64,670.29,583.94,RPB1,-369.65,135.25,38.07,32.08,24.42,0.21,9.26,7.03,0.59,4.11,8.27,1.46,-0.03
2025-08-13T15:15:43,environment,1.00,Normal,-0.92,60.76,313.79,399.10,261.30,493.35,661.37,RPB1,-366.72,136.38,34.90,32.75,26.05,-0.23,11.48,8.31,0.98,4.20,7.62,1.42,-0.16
2025-08-13T15:15:44,environment,1.00,Normal,-0.92,59.82,299.90,438.64,357.81,525.16,648.45,RPB1,-382.44,140.49,42.24,24.00,24.67,4.69,9.10,5.67,4.14,4.24,6.27,1.16,1.20
2025-08-13T15:15:45,environment,1.00,Normal,-0.92,59.93,349.48,402.67,500.65,608.11,784.81,RPB1,-377.44,137.35,40.78,27.59,25.38,2.08,7.24,6.02,3.66,3.91,6.02,1.51,2.08
2025-08-13T15:15:46,environment,1.00,Normal,-0.92,60.05,551.25,306.03,497.74,444.94,362.08,RPB1,-375.79,136.00,39.95,28.87,25.48,2.19,8.07,7.55,3.75,3.14,5.97,2.11,2.81
2025-08-13T15:15:47,environment,1.00,Normal,-0.92,59.73,360.19,429.03,559.94,300.49,509.73,RPB1,-379.89,137.92,41.47,26.19,23.70,3.77,8.71,6.68,3.46,1.90,5.19,2.64,4.17
2025-08-13T15:15:48,environment,1.00,Normal,-0.92,59.88,358.05,443.75,538.33,243.37,0.00,RPB1,-362.43,141.49,30.92,23.71,23.20,2.74,9.15,6.55,1.94,0.89,4.58,1.64,4.27
2025-08-13T15:15:49,environment,1.00,Normal,-0.92,60.42,362.58,450.18,554.34,304.64,624.72,RPB1,-362.70,143.34,33.62,22.80,22.26,4.84,10.64,7.07,1.88,0.77,5.50,1.48,3.22
