Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,Tester_id,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-08-13T15:18:22,environment,1.00,Normal,-0.92,62.78,361.82,454.87,304.92,530.85,0.00,RPB1,-330.38,136.00,28.76,21.40,18.82,5.27,6.32,5.76,2.21,1.08,5.87,1.21,1.16
2025-08-13T15:18:23,environment,1.00,Normal,-0.92,62.75,474.40,364.41,305.57,526.96,0.00,RPB1,-330.33,134.97,27.67,21.13,19.22,5.39,7.28,5.58,1.60,1.28,4.91,0.98,0.77
2025-08-13T15:18:24,environment,1.00,Normal,-0.92,60.00,357.91,302.99,465.58,559.76,413.60,RPB1,-354.66,126.45,35.29,26.11,27.21,4.17,4.88,7.86,4.30,1.69,4.39,3.15,2.05
2025-08-13T15:18:25,environment,1.00,Normal,-0.92,60.05,304.47,451.90,365.12,516.69,634.13,RPB1,-359.63,129.25,38.11,24.36,27.42,3.86,5.05,7.83,3.75,2.32,4.72,3.21,3.03
2025-08-13T15:18:26,environment,1.00,Normal,-0.92,60.23,322.60,449.05,382.83,535.73,665.05,RPB1,-372.57,133.20,43.87,24.53,24.34,6.33,9.70,8.20,3.84,1.55,5.14,1.16,1.83
2025-08-13T15:18:27,environment,1.00,Normal,-0.92,60.66,326.91,391.81,473.61,533.45,0.00,RPB1,-359.84,130.60,39.60,27.75,24.27,6.10,9.69,7.87,3.72,0.77,6.23,1.55,1.05
2025-08-13T15:18:28,environment,1.00,Normal,-0.92,60.31,314.44,393.55,492.56,627.04,0.00,RPB1,-352.37,127.68,35.94,25.30,25.11,5.43,8.72,8.16,3.04,2.59,5.64,1.64,0.39
2025-08-13T15:18:29,environment,1.00,Normal,-0.92,60.18,358.07,303.86,429.99,601.65,512.21,RPB1,-353.71,127.71,32.49,22.78,29.75,6.59,6.03,9.52,4.72,2.99,5.34,2.89,-0.64
2025-08-13T15:18:30,environment,1.00,Normal,-0.92,60.27,355.90,538.31,605.17,422.06,300.81,RPB1,-357.88,132.75,32.80,25.77,27.45,5.09,7.04,8.59,4.95,1.09,5.51,3.72,-1.06
2025-08-13T15:18:31,environment,1.00,Normal,-0.92,60.31,379.46,304.64,455.00,505.49,621.13,RPB1,-364.59,132.85,38.90,28.40,22.29,3.87,9.07,8.23,4.38,0.71,5.59,1.71,0.41
