Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,Tester_id,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-08-13T15:11:54,environment,1.00,Normal,-0.92,61.61,346.77,453.98,398.62,645.60,567.35,RPB1,-338.78,127.94,32.02,32.00,23.55,3.70,8.99,2.86,-0.96,2.76,6.71,2.40,1.55
2025-08-13T15:11:55,environment,1.00,Normal,-0.92,61.51,313.30,502.92,446.79,597.77,211.67,RPB1,-328.51,133.69,24.59,33.31,20.94,-2.69,6.53,0.99,-3.93,0.73,5.83,2.72,2.62
2025-08-13T15:11:56,environment,1.00,Normal,-0.92,61.03,344.82,552.11,495.52,428.59,253.38,RPB1,-324.56,133.75,24.82,27.83,16.90,-1.97,7.52,3.51,-1.61,3.11,5.69,1.35,2.23
2025-08-13T15:11:57,environment,0.99,Normal,-0.92,61.59,360.87,746.94,486.75,424.64,605.93,RPB1,-320.26,132.94,25.29,27.10,17.41,-2.11,10.35,3.73,-0.49,4.57,7.57,3.77,-0.03
2025-08-13T15:11:58,environment,0.97,Normal,-0.92,61.77,618.85,346.43,564.89,465.72,750.30,RPB1,-318.49,133.27,22.43,25.36,19.87,-3.52,10.27,3.38,-1.54,4.24,11.18,5.56,0.34
2025-08-13T15:11:59,environment,1.00,Normal,-0.92,61.21,590.54,730.56,1187.00,326.84,524.86,RPB1,-324.38,133.00,21.14,24.08,22.04,-0.79,9.72,3.24,-2.62,1.85,11.62,2.79,1.14
2025-08-13T15:12:00,environment,1.00,Normal,-0.92,60.02,428.87,352.77,512.68,568.70,0.00,RPB1,-346.85,131.31,27.12,28.39,28.35,-0.84,5.28,7.00,-1.25,-0.13,6.76,0.38,0.07
2025-08-13T15:12:01,environment,1.00,Normal,-0.92,59.97,399.31,472.02,531.10,324.69,653.39,RPB1,-353.51,131.59,29.72,26.81,30.39,-0.91,3.24,6.81,2.71,3.37,5.51,2.66,-0.06
2025-08-13T15:12:02,environment,1.00,Normal,-0.92,60.72,317.41,404.24,563.25,707.61,459.81,RPB1,-353.45,134.80,33.12,24.08,26.25,0.51,5.71,5.24,4.12,6.69,6.55,3.96,1.84
2025-08-13T15:12:03,environment,1.00,Normal,-0.92,61.14,315.25,382.50,435.53,645.89,0.00,RPB1,-343.75,139.30,29.96,24.10,21.64,-2.08,3.08,6.32,2.44,4.63,8.02,5.77,2.92
