Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,Tester_id,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-08-20T10:45:27,environment,0.84,Normal,-0.92,76.25,358.18,1971.24,302.84,535.01,439.79,IPC1,-77.98,59.08,3.88,17.78,10.96,2.20,-0.78,-0.97,2.54,-7.39,-4.30,-1.18,-4.46
2025-08-20T10:45:28,environment,0.97,Normal,-0.92,76.42,1972.41,309.04,481.64,2151.42,374.05,IPC1,-77.64,59.28,4.45,18.43,12.02,2.61,-1.38,-1.07,2.28,-8.02,-4.38,-1.45,-4.49
2025-08-20T10:45:29,environment,0.99,Normal,-0.92,74.21,357.88,1972.52,2155.93,463.84,837.95,IPC1,-84.09,60.23,3.80,19.40,12.70,2.59,-1.88,-0.57,3.44,-8.78,-4.84,-1.22,-4.95
2025-08-20T10:45:30,environment,0.93,Normal,-0.92,73.89,1973.17,358.30,479.52,304.30,2155.16,IPC1,-85.37,59.28,3.87,19.51,12.37,2.63,-0.76,-0.37,3.27,-9.45,-5.69,-0.93,-3.58
2025-08-20T10:45:31,environment,0.88,Normal,-0.92,74.00,1972.14,359.67,505.78,611.39,419.95,IPC1,-85.05,59.37,4.30,19.74,11.58,1.70,-0.79,-0.21,2.70,-9.72,-5.46,-1.46,-3.78
2025-08-20T10:45:32,environment,0.90,Normal,-0.92,74.20,1973.11,366.15,2310.60,542.10,478.68,IPC1,-84.35,60.68,5.10,19.56,11.56,1.83,-1.67,-0.22,2.94,-9.44,-5.16,-2.42,-4.79
2025-08-20T10:45:33,environment,0.88,Normal,-0.92,74.23,358.72,1972.84,505.76,301.19,1905.59,IPC1,-85.08,60.29,5.64,19.52,11.33,2.54,-1.41,-0.67,3.04,-9.12,-5.43,-2.09,-5.34
2025-08-20T10:45:34,environment,0.96,Normal,-0.92,74.07,356.24,1972.92,479.65,2310.56,557.12,IPC1,-85.85,59.13,5.41,19.31,11.23,3.39,-0.58,-1.26,2.19,-8.70,-4.14,-0.86,-4.64
2025-08-20T10:45:35,environment,0.95,Normal,-0.92,73.92,1972.80,318.61,2160.74,411.82,502.24,IPC1,-85.63,58.87,4.88,19.51,11.52,2.89,-1.11,-1.15,2.84,-8.47,-4.60,-1.04,-4.05
2025-08-20T10:45:36,environment,0.99,Normal,-0.92,73.95,360.79,479.06,1971.75,2156.01,850.68,IPC1,-85.31,59.27,4.09,19.65,12.39,2.62,-1.78,-0.88,3.49,-8.30,-4.79,-0.44,-3.50
