Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3
2025-08-03T21:57:38,gripper,NORMAL,68.9,361.5,360.5,363.5
2025-08-03T21:57:39,gripper,NORMAL,67.7,48.0,563.5,49.0
2025-08-03T21:57:41,elevator,NORMAL,63.1,47.5,100.0,79.5
2025-08-03T21:57:42,shuttle,NORMAL,59.5,48.0,143.0,48.5
2025-08-03T21:57:43,shuttle,NORMAL,59.5,48.0,47.5,144.0
2025-08-03T21:57:44,elevator,NORMAL,44.9,47.5,142.5,100.0
2025-08-03T21:57:45,elevator,NORMAL,45.5,47.5,48.0,142.5
2025-08-03T21:57:46,gripper,NORMAL,45.1,48.0,142.5,100.0
2025-08-03T21:57:47,gripper,ANOMALY,46.0,143.0,142.0,48.0
2025-08-03T21:57:48,gripper,ANOMALY,46.3,142.5,100.0,48.0
2025-08-03T21:57:49,gripper,NORMAL,45.3,47.5,142.5,48.0
2025-08-03T21:57:50,gripper,NORMAL,44.9,47.5,142.5,100.0
2025-08-03T21:57:51,gripper,NORMAL,45.0,47.5,142.5,48.0
2025-08-03T21:57:52,gripper,NORMAL,45.5,47.5,48.0,142.5
2025-08-03T21:57:53,gripper,NORMAL,44.9,47.5,100.0,142.5
2025-08-03T21:57:54,elevator,NORMAL,44.5,48.0,100.0,142.5
2025-08-03T21:57:55,gripper,NORMAL,44.6,48.0,142.5,100.0
2025-08-03T21:57:56,elevator,NORMAL,44.2,142.5,100.0,48.0
2025-08-03T21:57:57,gripper,NORMAL,45.1,142.5,47.5,48.0
2025-08-03T21:57:58,elevator,NORMAL,46.0,47.5,48.0,100.0
2025-08-03T21:57:59,elevator,NORMAL,45.5,47.5,142.5,100.0
2025-08-03T21:58:00,gripper,NORMAL,45.4,47.5,142.5,73.0
2025-08-03T21:58:01,gripper,NORMAL,45.3,47.5,142.5,73.0
2025-08-03T21:58:02,gripper,NORMAL,44.6,142.5,48.0,100.0
2025-08-03T21:58:03,gripper,NORMAL,44.3,142.5,100.0,200.0
2025-08-03T21:58:04,gripper,NORMAL,45.1,48.0,47.5,100.0
2025-08-03T21:58:05,gripper,NORMAL,45.8,47.5,48.0,142.5
2025-08-03T21:58:06,gripper,NORMAL,45.3,47.5,142.5,100.0
2025-08-03T21:58:07,gripper,NORMAL,45.0,47.5,142.5,100.0
2025-08-03T21:58:08,elevator,NORMAL,44.7,142.5,47.5,48.0
2025-08-03T21:58:09,gripper,NORMAL,45.0,142.5,100.0,200.0
2025-08-03T21:58:10,gripper,NORMAL,45.4,142.5,47.5,100.0
2025-08-03T21:58:11,gripper,NORMAL,66.3,142.0,1203.0,1201.5
2025-08-03T21:58:12,gripper,NORMAL,66.3,47.5,142.5,1201.5
2025-08-03T21:58:13,gripper,NORMAL,44.8,47.5,142.5,100.0
2025-08-03T21:58:14,gripper,NORMAL,44.3,142.5,47.5,100.0
2025-08-03T21:58:15,gripper,NORMAL,44.6,142.5,100.0,200.0
2025-08-03T21:58:16,elevator,NORMAL,44.5,142.5,100.0,73.5
2025-08-03T21:58:17,elevator,NORMAL,44.7,47.5,142.5,100.0
2025-08-03T21:58:18,gripper,NORMAL,44.8,47.5,142.5,100.0
2025-08-03T21:58:19,elevator,NORMAL,44.7,47.5,142.5,100.0
2025-08-03T21:58:20,gripper,NORMAL,44.4,47.5,142.5,100.0
2025-08-03T21:58:21,gripper,NORMAL,44.0,142.5,48.0,100.0
2025-08-03T21:58:22,elevator,NORMAL,44.3,142.5,100.0,47.5
2025-08-03T21:58:23,gripper,NORMAL,44.8,47.5,142.5,100.0
2025-08-03T21:58:24,gripper,NORMAL,46.7,47.5,142.5,100.0
2025-08-03T21:58:25,elevator,NORMAL,46.7,47.5,142.5,100.0
2025-08-03T21:58:27,elevator,NORMAL,44.9,47.5,142.5,100.0
2025-08-03T21:58:28,elevator,ANOMALY,49.4,47.5,14.0,20.5
2025-08-03T21:58:29,environment,ANOMALY,50.0,14.0,22.0,15.5
2025-08-03T21:58:30,gripper,ANOMALY,45.9,142.5,48.0,100.0
2025-08-03T21:58:31,elevator,NORMAL,44.1,142.5,47.5,100.0
2025-08-03T21:58:32,environment,ANOMALY,51.4,47.5,48.5,48.0
2025-08-03T21:58:33,environment,ANOMALY,51.9,47.5,48.5,8.5
2025-08-03T21:58:34,elevator,ANOMALY,46.0,47.5,142.5,100.0
2025-08-03T21:58:35,elevator,ANOMALY,45.0,47.5,100.0,142.5
2025-08-03T21:58:36,elevator,NORMAL,44.1,100.0,47.5,142.5
