Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-07-30T14:56:07,elevator,0.98,Anomaly,,103.6,356.8,1175.7,894.1,303.1,1106.9,-84.77,90.33,-1.25,8.72,-0.49,2.27,1.90,11.76,2.62,-6.91,2.80,-5.88,-7.17
2025-07-30T14:56:08,elevator,0.99,Anomaly,,107.1,1092.0,936.5,844.8,729.1,370.8,-27.46,58.37,0.54,6.24,-2.75,-4.13,1.44,9.87,1.62,-1.74,5.31,-1.85,-5.26
2025-07-30T14:56:09,elevator,0.97,Anomaly,,107.0,732.1,595.7,355.6,976.4,2868.3,-31.25,64.15,1.26,3.27,-0.73,-3.89,2.35,8.79,0.34,-1.04,5.03,-1.41,-3.67
2025-07-30T14:56:10,elevator,0.99,Anomaly,,103.6,351.4,587.4,677.8,930.8,1121.7,-85.41,94.70,-2.06,5.00,2.21,4.47,1.70,11.16,0.66,-5.58,3.37,-5.02,-5.27
2025-07-30T14:56:11,elevator,1.00,Anomaly,,106.3,352.0,301.3,430.0,498.7,797.2,-47.78,67.72,2.97,6.70,-0.66,0.19,-1.72,9.74,-2.34,-3.71,5.43,-4.48,-2.63
2025-07-30T14:56:12,elevator,1.00,Anomaly,,107.4,354.2,627.2,576.1,976.8,780.5,-10.38,42.72,9.56,2.93,-1.70,-1.58,-1.85,9.90,-1.58,-1.13,6.83,-4.74,-1.08
2025-07-30T14:56:13,elevator,0.99,Anomaly,,104.9,745.6,578.2,664.8,1160.7,1364.5,-73.04,83.84,1.90,7.04,0.42,3.25,1.66,12.63,2.16,-5.18,4.69,-7.11,-5.68
2025-07-30T14:56:14,elevator,0.99,Anomaly,,105.0,353.8,303.7,712.8,894.0,944.7,-71.30,85.50,-1.92,9.63,-0.03,1.19,3.04,11.53,3.17,-5.43,3.76,-5.35,-7.40
2025-07-30T14:56:15,elevator,0.99,Anomaly,,107.3,698.1,769.1,906.9,635.4,822.7,-12.88,48.90,2.98,5.69,-1.09,-4.77,0.40,7.91,0.32,-0.50,5.33,-1.16,-4.77
2025-07-30T14:56:16,elevator,0.88,Anomaly,,106.1,623.4,568.3,732.4,3414.7,2866.4,-52.13,75.57,-0.33,5.68,-0.12,-2.93,1.01,8.26,0.49,-2.26,5.25,-1.91,-5.11
2025-07-30T14:56:17,elevator,0.99,Anomaly,,104.0,353.2,732.2,834.2,1097.9,1186.8,-81.63,92.58,-0.59,4.51,1.92,4.47,0.56,11.67,1.67,-5.00,4.16,-5.45,-4.80
2025-07-30T14:56:18,elevator,1.00,Anomaly,,107.1,354.1,1082.5,711.9,818.7,968.6,-25.45,54.59,5.88,4.89,-0.64,-0.19,-2.18,10.32,-2.02,-2.24,6.64,-5.14,-1.22
2025-07-30T14:56:19,elevator,1.00,Anomaly,,107.0,594.3,352.8,3264.6,977.0,5596.0,-28.10,53.18,7.27,4.94,-1.01,-1.35,-1.23,10.70,-1.80,-3.45,6.19,-6.15,-1.77
2025-07-30T14:56:20,elevator,0.99,Anomaly,,103.6,352.3,732.7,809.0,912.7,662.9,-85.16,89.17,0.45,8.00,0.31,5.66,1.76,12.62,2.35,-7.40,3.13,-7.26,-7.25
2025-07-30T14:56:21,elevator,0.99,Anomaly,,106.0,355.9,305.4,719.0,886.1,627.5,-54.79,72.29,-0.71,9.72,-0.30,-1.30,1.78,9.98,2.03,-3.96,3.91,-3.92,-7.05
2025-07-30T14:56:22,elevator,0.99,Anomaly,,107.3,602.9,2738.6,743.1,899.5,3242.7,-14.18,49.37,4.37,4.03,0.21,-6.90,1.12,8.40,0.24,0.17,4.42,-1.34,-4.12
2025-07-30T14:56:23,elevator,0.99,Anomaly,,105.2,586.7,352.8,731.9,2758.7,521.6,-70.62,88.10,-1.38,7.36,1.07,0.53,3.40,10.10,1.21,-4.39,3.58,-3.98,-5.75
