x,y,label,group
35.69637,-38.52953,0,mast_20250730_143631_805
33.443905,-37.234913,0,mast_20250730_143632_794
-29.255724,-20.973965,0,mast_20250730_143633_797
-34.09663,-23.549622,0,mast_20250730_143634_791
34.4663,-33.866436,0,mast_20250730_143637_784
-29.701138,-21.589367,0,mast_20250730_143638_794
34.194546,-38.061226,0,mast_20250730_143641_786
-32.1608,-21.417572,0,mast_20250730_143643_787
34.513668,-38.72363,0,mast_20250730_143645_797
34.368076,-35.113277,0,mast_20250730_143646_795
-29.107658,-21.12688,0,mast_20250730_143647_805
-31.370922,-22.388853,0,mast_20250730_143652_794
-10.150899,-54.12584,0,mast_20250730_143653_785
35.3045,-38.57719,0,mast_20250730_143654_776
34.198784,-36.781628,0,mast_20250730_143655_783
-34.350216,-22.832645,0,mast_20250730_143657_788
-30.474485,-21.564035,0,mast_20250730_143701_799
-32.593357,-21.016258,0,mast_20250730_143706_788
-21.13071,-58.256847,0,mast_20250730_143707_781
32.23544,-35.21421,0,mast_20250730_143709_786
-30.05621,-21.124111,0,mast_20250730_143710_775
-32.306084,-22.505339,0,mast_20250730_143715_802
32.732334,-35.794712,0,mast_20250730_143718_794
-30.678566,-20.548079,0,mast_20250730_143724_789
33.466278,-36.93705,0,mast_20250730_143727_784
-33.820442,-22.789684,0,mast_20250730_143729_801
34.552578,-33.602894,0,mast_20250730_143732_792
-30.11946,-20.796253,0,mast_20250730_143733_796
33.71412,-38.034264,0,mast_20250730_143736_790
-34.155262,-22.857256,0,mast_20250730_143738_787
34.579514,-38.570488,0,mast_20250730_143740_772
34.33313,-35.072285,0,mast_20250730_143741_783
-28.498816,-20.694098,0,mast_20250730_143742_779
-31.764126,-20.715137,0,mast_20250730_143747_802
34.83851,-38.666378,0,mast_20250730_143749_796
34.451824,-36.204674,0,mast_20250730_143750_795
-34.912155,-23.726301,0,mast_20250730_143752_792
-31.453442,-22.225056,0,mast_20250730_143756_777
35.92506,-38.589283,0,mast_20250730_143758_777
-32.79136,-21.221804,0,mast_20250730_143801_801
-21.662285,-59.08547,0,mast_20250730_143802_790
-30.350086,-22.087337,0,mast_20250730_143805_782
-32.567085,-22.09898,0,mast_20250730_143810_775
-20.553528,-57.596546,0,mast_20250730_143811_786
32.51755,-35.523254,0,mast_20250730_143813_782
-33.65969,-21.877316,0,mast_20250730_143819_796
33.3001,-36.809227,0,mast_20250730_143822_792
-28.766956,-20.851698,0,mast_20250730_143823_784
34.604225,-33.366047,0,mast_20250730_143827_784
-30.29492,-21.514498,0,mast_20250730_143828_778
33.515564,-37.4925,0,mast_20250730_143831_804
-34.68796,-23.775541,0,mast_20250730_143833_799
34.14699,-38.604156,0,mast_20250730_143835_782
34.520733,-33.798473,0,mast_20250730_143836_793
-29.445107,-21.035198,0,mast_20250730_143837_781
-32.54843,-21.73672,0,mast_20250730_143842_777
35.105156,-38.795994,0,mast_20250730_143844_809
34.358864,-35.832886,0,mast_20250730_143845_802
-34.917953,-23.472494,0,mast_20250730_143847_802
-30.928226,-21.91264,0,mast_20250730_143851_784
35.627132,-38.213528,0,mast_20250730_143853_782
-32.432568,-22.571518,0,mast_20250730_143856_775
-21.729546,-59.165195,0,mast_20250730_143857_785
-30.152214,-5.847243,0,mast_20250819_093018_235
-39.33573,-14.48013,0,mast_20250819_093019_243
-43.07303,-28.74205,0,mast_20250819_093020_231
-41.47469,-8.54556,0,mast_20250819_093024_219
-39.619846,-16.659554,0,mast_20250819_093025_228
-38.64863,-10.160938,0,mast_20250819_093030_232
-42.43211,-25.646091,0,mast_20250819_093031_257
-40.264423,-13.857576,0,mast_20250819_093036_252
-41.418804,-25.9578,0,mast_20250819_093037_232
-31.334953,-7.088315,0,mast_20250819_093041_256
-35.101143,-18.199406,0,mast_20250819_093042_235
-40.46376,-9.61202,0,mast_20250819_093047_262
-40.86432,-16.999535,0,mast_20250819_093048_249
-38.057957,-10.700937,0,mast_20250819_093053_240
-41.706783,-27.129591,0,mast_20250819_093054_233
-32.194317,-4.054077,0,mast_20250819_093058_230
-38.707653,-15.266761,0,mast_20250819_093059_224
-41.252686,-29.646322,0,mast_20250819_093100_229
-38.491688,-8.187876,0,mast_20250819_093104_364
-38.59954,-18.553982,0,mast_20250819_093105_364
-27.254839,-1.4114668,0,mast_20250819_093108_346
-41.008034,-11.057493,0,mast_20250819_093110_352
-41.928833,-24.14801,0,mast_20250819_093111_361
-29.801714,-5.209581,0,mast_20250819_093115_340
