2025-08-11 11:24:08 | INFO     | __main__             | _load_config         | Configuration loaded from config.yaml
2025-08-11 11:24:08 | INFO     | __main__             | _init_connection_pool | Connection pool initialized successfully
2025-08-11 11:24:08 | INFO     | __main__             | __init__             | Export directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-11 11:24:08 | INFO     | __main__             | init_db              | Database initialized successfully
2025-08-11 11:24:08 | INFO     | __main__             | start                | Starting data rotation service every 1 minutes...
2025-08-11 11:24:08 | INFO     | __main__             | start                | Export directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-11 11:24:08 | INFO     | __main__             | start                | Delete after export: True
2025-08-11 11:24:08 | INFO     | __main__             | _export_to_sql       | SQL export file created: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042408.sql (2,618 bytes)
2025-08-11 11:24:08 | INFO     | __main__             | export_and_rotate    | Exported 11 rows to D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042408.sql
2025-08-11 11:24:08 | INFO     | __main__             | export_and_rotate    | Deleted 11 rows older than 1 minutes from database
2025-08-11 11:24:08 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042408.sql
2025-08-11 11:24:08 | INFO     | __main__             | export_and_rotate    | Deleted exported file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042408.sql
2025-08-11 11:25:08 | INFO     | __main__             | _export_to_sql       | SQL export file created: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042508.sql (10,218 bytes)
2025-08-11 11:25:08 | INFO     | __main__             | export_and_rotate    | Exported 49 rows to D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042508.sql
2025-08-11 11:25:08 | INFO     | __main__             | export_and_rotate    | Deleted 49 rows older than 1 minutes from database
2025-08-11 11:25:08 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042508.sql
2025-08-11 11:25:08 | INFO     | __main__             | export_and_rotate    | Deleted exported file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042508.sql
2025-08-11 11:26:08 | INFO     | __main__             | _export_to_sql       | SQL export file created: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042608.sql (9,997 bytes)
2025-08-11 11:26:08 | INFO     | __main__             | export_and_rotate    | Exported 48 rows to D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042608.sql
2025-08-11 11:26:08 | INFO     | __main__             | export_and_rotate    | Deleted 48 rows older than 1 minutes from database
2025-08-11 11:26:08 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042608.sql
2025-08-11 11:26:08 | INFO     | __main__             | export_and_rotate    | Deleted exported file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042608.sql
2025-08-11 11:27:08 | INFO     | __main__             | _export_to_sql       | SQL export file created: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042708.sql (8,011 bytes)
2025-08-11 11:27:08 | INFO     | __main__             | export_and_rotate    | Exported 38 rows to D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042708.sql
2025-08-11 11:27:08 | INFO     | __main__             | export_and_rotate    | Deleted 38 rows older than 1 minutes from database
2025-08-11 11:27:08 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042708.sql
2025-08-11 11:27:08 | INFO     | __main__             | export_and_rotate    | Deleted exported file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_042708.sql
2025-08-11 11:48:06 | INFO     | __main__             | _export_to_sql       | SQL export file created: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_044806.sql (160,065 bytes)
2025-08-11 11:48:06 | INFO     | __main__             | export_and_rotate    | Exported 800 rows to D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_044806.sql
2025-08-11 11:48:06 | INFO     | __main__             | export_and_rotate    | Deleted 800 rows older than 1 minutes from database
2025-08-11 11:48:06 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_044806.sql
2025-08-11 11:48:06 | INFO     | __main__             | export_and_rotate    | Deleted exported file: D:\NOPPALIT\History\Saturn_Acc_Logs\export_20250811_044806.sql
2025-08-11 11:48:07 | INFO     | __main__             | start                | Service interrupted by user
2025-08-11 11:48:07 | INFO     | __main__             | close                | Connection pool closed
2025-08-11 11:48:07 | INFO     | __main__             | cleanup              | Service cleanup completed
