2025-08-20 16:06:21 | INFO     | __main__             | _load_config         | Configuration loaded from config.yaml
2025-08-20 16:06:21 | INFO     | __main__             | _init_connection_pool | Connection pool initialized successfully
2025-08-20 16:06:21 | INFO     | __main__             | __init__             | CSV source directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-20 16:06:21 | INFO     | __main__             | __init__             | Export directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-20 16:06:21 | INFO     | __main__             | init_db              | Database initialized successfully
2025-08-20 16:06:21 | INFO     | __main__             | start                | Starting CSV processing service every 1 minutes...
2025-08-20 16:06:21 | INFO     | __main__             | start                | CSV source directory: D:\NOPPALIT\History\Saturn_Acc_Logs
2025-08-20 16:06:21 | INFO     | __main__             | start                | Delete after export: True
2025-08-20 16:06:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:06:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250820_155941.csv
2025-08-20 16:06:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:06:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250820_160014.csv
2025-08-20 16:06:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:06:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250820_160047.csv
2025-08-20 16:06:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:06:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250820_160225.csv
2025-08-20 16:06:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:06:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250820_160258.csv
2025-08-20 16:06:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:06:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250820_160331.csv
2025-08-20 16:06:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:06:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250820_160404.csv
2025-08-20 16:06:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:06:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250820_160615.csv
2025-08-20 16:06:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:06:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\IPC1_20250820_160648.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RP26_20250820_160038.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RP26_20250820_160113.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RP26_20250820_160148.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RP26_20250820_160222.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RP26_20250820_160257.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RP26_20250820_160332.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RP26_20250820_160407.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RP26_20250820_160442.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 30 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RP26_20250820_160517.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 10 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RPB1_20250820_160021.csv
2025-08-20 16:07:21 | INFO     | __main__             | _import_rows_to_db   | Imported 10 rows to database
2025-08-20 16:07:21 | INFO     | __main__             | _delete_file         | Successfully deleted file: D:\NOPPALIT\History\Saturn_Acc_Logs\RPB1_20250820_160032.csv
