Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,Tester_id,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-08-19T16:21:10,environment,0.50,Normal,-0.92,65.17,378.62,450.43,576.23,502.15,0.00,IPC1,-274.19,115.51,11.99,11.93,-2.56,-6.75,-0.79,-7.35,-6.92,-8.04,-3.55,-8.49,-3.79
2025-08-19T16:21:11,environment,0.91,Normal,-0.92,66.80,398.35,342.81,532.96,647.00,473.14,IPC1,-266.25,115.75,9.85,16.38,-1.32,-9.05,-0.51,-10.50,-7.40,-6.02,-4.32,-9.59,-3.16
2025-08-19T16:21:12,environment,0.97,Normal,-0.92,66.67,553.88,414.03,498.34,358.51,698.68,IPC1,-265.52,121.71,7.68,19.09,0.15,-9.61,0.66,-10.78,-5.84,-6.56,-3.96,-11.17,-4.42
2025-08-19T16:21:13,environment,0.62,Normal,-0.92,64.04,487.23,366.85,432.99,307.32,639.79,IPC1,-275.12,119.85,5.67,13.54,-1.66,-8.01,0.77,-9.30,-4.81,-7.85,-1.96,-11.15,-4.79
2025-08-19T16:21:14,elevator,0.99,Normal,-0.92,75.27,393.02,740.49,478.35,311.78,858.35,IPC1,-276.78,115.31,6.48,9.01,-5.75,-8.38,3.28,-5.40,-3.44,-9.62,-4.46,-12.44,-4.26
2025-08-19T16:21:15,elevator,1.00,Normal,-0.92,83.95,396.04,-39.84,345.42,454.18,565.24,IPC1,-258.85,106.73,4.99,1.47,-11.07,-11.09,9.13,4.78,1.68,-13.99,-14.57,-19.46,2.38
2025-08-19T16:21:16,elevator,1.00,Normal,-0.92,86.02,1000.09,2000.04,2999.98,0.00,0.00,IPC1,-245.21,101.57,3.16,-4.31,-13.48,-12.06,11.93,11.25,6.22,-17.14,-21.48,-24.42,7.88
2025-08-19T16:21:17,elevator,1.00,Normal,-0.92,86.31,1000.09,1999.92,948.30,1068.91,3000.16,IPC1,-246.66,102.09,3.50,-3.43,-12.44,-12.93,12.53,11.32,6.27,-16.85,-21.10,-23.64,8.22
2025-08-19T16:21:18,elevator,1.00,Normal,-0.92,87.63,1000.14,1999.99,754.49,1069.32,3000.24,IPC1,-248.09,105.26,3.00,-4.09,-10.82,-15.26,15.11,10.76,4.68,-15.79,-22.07,-25.04,9.52
2025-08-19T16:21:19,elevator,1.00,Anomaly,,88.36,1000.09,939.59,1999.96,1075.39,871.87,IPC1,-246.63,106.76,1.50,-4.95,-10.25,-15.45,16.24,9.31,4.26,-14.70,-22.94,-24.94,9.69
