Timestamp,Component,Component_proba,Status,Status_proba,dB,TopFreq1,TopFreq2,TopFreq3,TopFreq4,TopFreq5,Tester_id,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
2025-08-13T14:56:48,environment,1.00,Normal,-0.92,69.43,328.93,611.19,762.96,382.97,446.80,RPB1,-340.97,120.12,40.63,22.37,20.77,6.90,11.16,6.10,6.26,3.46,4.02,1.89,2.22
2025-08-13T14:56:49,environment,1.00,Normal,-0.92,69.45,954.99,321.60,1082.00,452.39,371.78,RPB1,-328.75,111.30,39.42,23.04,22.90,8.09,9.02,5.76,7.30,3.23,4.46,1.24,2.16
2025-08-13T14:56:50,environment,1.00,Normal,-0.92,60.85,409.30,353.84,470.63,600.24,736.53,RPB1,-335.92,113.88,36.84,28.79,22.52,9.19,8.82,4.61,7.72,4.21,4.83,0.31,3.76
2025-08-13T14:56:51,environment,1.00,Normal,-0.92,60.45,319.30,552.21,448.92,393.15,621.85,RPB1,-351.06,123.17,37.24,27.50,23.41,10.51,8.72,4.02,4.77,3.90,4.39,0.64,4.34
2025-08-13T14:56:52,environment,1.00,Normal,-0.92,60.13,314.34,398.28,584.11,486.12,0.00,RPB1,-360.98,124.41,41.31,27.40,25.07,7.07,7.99,6.72,3.26,4.09,3.58,0.91,3.45
2025-08-13T14:56:53,environment,1.00,Normal,-0.92,60.56,352.32,628.88,445.50,516.76,0.00,RPB1,-359.97,124.98,41.31,27.48,25.74,6.24,9.12,7.54,3.94,4.02,2.77,1.97,4.24
2025-08-13T14:56:54,environment,1.00,Normal,-0.92,60.56,330.65,395.55,611.73,258.90,482.65,RPB1,-361.04,127.50,40.16,27.34,24.43,7.74,9.31,6.30,5.79,3.91,1.48,3.15,2.95
2025-08-13T14:56:55,environment,1.00,Normal,-0.92,60.53,361.15,305.37,417.06,512.31,642.29,RPB1,-361.16,120.72,44.96,27.59,24.70,9.60,8.11,5.62,5.28,4.76,3.55,2.62,1.37
2025-08-13T14:56:56,environment,1.00,Normal,-0.92,60.31,358.21,596.38,261.46,512.72,438.14,RPB1,-346.54,110.41,39.41,30.23,22.35,13.49,3.87,8.55,4.49,5.22,5.32,-0.70,2.63
2025-08-13T14:56:57,environment,1.00,Normal,-0.92,60.13,322.27,235.76,466.04,665.16,374.77,RPB1,-344.65,115.20,31.80,31.97,21.12,13.95,3.41,10.86,6.38,4.52,4.23,-2.34,2.33
