File,Timestamp,Component,Prob,Status,dB,OCSVMScore,TopFreq1,TopFreq2,TopFreq3
elevator_20250730_145635_921.wav,2025-07-30T14:56:35,elevator,1.0,Normal,87.8,0.1,920.5,811.1,476.1
elevator_20250730_145636_907.wav,2025-07-30T14:56:36,elevator,1.0,Normal,86.7,0.3,621.3,731.7,870.7
elevator_20250730_145637_922.wav,2025-07-30T14:56:37,elevator,1.0,Normal,83.7,0.1,732.5,943.2,1180.5
elevator_20250730_145638_915.wav,2025-07-30T14:56:38,elevator,1.0,Normal,87.3,0.1,731.4,1084.7,1220.4
elevator_20250730_145639_904.wav,2025-07-30T14:56:39,elevator,1.0,Normal,87.7,0.1,567.3,733.8,2857.0
elevator_20250730_145640_914.wav,2025-07-30T14:56:40,elevator,1.0,Normal,84.2,0.1,809.6,1074.3,417.7
elevator_20250730_145641_906.wav,2025-07-30T14:56:41,elevator,1.0,Normal,85.9,0.3,1124.8,637.1,910.8
elevator_20250730_145642_913.wav,2025-07-30T14:56:42,elevator,1.0,Normal,88.0,0.0,730.0,842.8,608.7
elevator_20250730_145643_925.wav,2025-07-30T14:56:43,elevator,1.0,Normal,85.7,0.2,589.0,402.8,732.4
elevator_20250730_145644_928.wav,2025-07-30T14:56:44,elevator,1.0,Normal,84.9,0.1,964.2,754.4,1128.4
elevator_20250730_145645_917.wav,2025-07-30T14:56:45,elevator,1.0,Anomaly,88.0,,1220.7,815.7,1068.8
elevator_20250730_145646_932.wav,2025-07-30T14:56:46,elevator,1.0,Normal,86.8,0.1,594.8,732.4,2623.9
elevator_20250730_145647_923.wav,2025-07-30T14:56:47,elevator,1.0,Normal,83.2,0.0,743.4,1125.8,927.1
elevator_20250730_145648_913.wav,2025-07-30T14:56:48,elevator,1.0,Normal,87.1,0.2,1095.7,947.4,827.4
elevator_20250730_145649_919.wav,2025-07-30T14:56:49,elevator,1.0,Normal,87.7,0.1,3408.1,733.8,593.9
elevator_20250730_145650_912.wav,2025-07-30T14:56:50,elevator,1.0,Normal,84.2,0.1,780.1,617.9,976.4
elevator_20250730_145651_920.wav,2025-07-30T14:56:51,elevator,1.0,Normal,86.2,0.1,689.3,419.2,813.8
elevator_20250730_145652_908.wav,2025-07-30T14:56:52,elevator,1.0,Anomaly,88.0,,615.0,975.1,1730.9
elevator_20250730_145653_905.wav,2025-07-30T14:56:53,elevator,1.0,Normal,85.6,0.1,595.2,732.5,1135.6
