Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-05T23:28:01,gripper,NORMAL,70.0,200.0,196.5,185.5,IPC1
2025-08-05T23:28:02,elevator,NORMAL,70.2,200.0,199.5,192.0,IPC1
2025-08-05T23:28:03,elevator,NORMAL,42.5,200.0,200.5,48.0,IPC1
2025-08-05T23:28:04,environment,NORMAL,43.8,200.0,201.0,199.5,IPC1
2025-08-05T23:28:05,elevator,NORMAL,44.0,200.0,200.5,199.5,IPC1
2025-08-05T23:28:06,elevator,NORMAL,38.5,200.0,199.5,199.0,IPC1
2025-08-05T23:28:07,elevator,NORMAL,37.9,200.0,200.5,48.0,IPC1
2025-08-05T23:28:09,elevator,ANOMALY,48.3,200.0,200.5,48.0,IPC1
2025-08-05T23:28:10,shuttle,ANOMALY,48.3,200.0,200.5,48.0,IPC1
2025-08-05T23:28:11,elevator,NORMAL,39.3,200.0,199.5,200.5,IPC1
2025-08-05T23:28:12,elevator,NORMAL,40.0,200.0,200.5,208.5,IPC1
2025-08-05T23:28:13,elevator,NORMAL,43.7,200.0,199.5,201.0,IPC1
2025-08-05T23:28:14,environment,NORMAL,43.8,200.0,200.5,72.5,IPC1
2025-08-05T23:28:15,elevator,NORMAL,38.8,200.0,48.0,199.5,IPC1
2025-08-05T23:28:16,elevator,NORMAL,41.7,200.0,143.0,47.5,IPC1
2025-08-05T23:28:17,elevator,NORMAL,39.8,200.0,143.0,47.5,IPC1
2025-08-05T23:28:18,environment,NORMAL,42.3,200.0,199.5,143.0,IPC1
2025-08-05T23:28:19,gripper,NORMAL,43.1,200.0,201.5,199.0,IPC1
2025-08-05T23:28:20,elevator,NORMAL,42.0,200.0,200.5,199.0,IPC1
2025-08-05T23:28:21,elevator,NORMAL,42.7,200.0,203.0,208.5,IPC1
2025-08-05T23:28:22,elevator,NORMAL,42.5,200.0,226.0,200.5,IPC1
2025-08-05T23:28:23,elevator,NORMAL,44.9,200.0,143.0,300.0,IPC1
2025-08-05T23:28:24,elevator,NORMAL,39.2,200.0,143.0,300.0,IPC1
2025-08-05T23:28:25,gripper,NORMAL,36.9,200.0,143.0,47.5,IPC1
2025-08-05T23:28:26,environment,NORMAL,38.8,200.0,200.5,143.0,IPC1
2025-08-05T23:28:27,elevator,NORMAL,39.9,200.0,47.5,143.0,IPC1
2025-08-05T23:28:28,gripper,NORMAL,40.4,200.0,143.0,199.5,IPC1
2025-08-05T23:28:29,elevator,NORMAL,39.8,200.0,200.5,47.5,IPC1
2025-08-05T23:28:30,gripper,NORMAL,40.2,200.0,143.0,199.5,IPC1
2025-08-05T23:28:31,elevator,NORMAL,44.7,200.0,199.5,143.0,IPC1
2025-08-05T23:28:36,gripper,NORMAL,73.0,522.5,521.5,523.0,IPC1
2025-08-05T23:28:37,elevator,NORMAL,73.2,522.5,522.0,523.0,IPC1
2025-08-05T23:28:38,elevator,NORMAL,39.2,200.0,200.5,199.5,IPC1
2025-08-05T23:28:39,elevator,NORMAL,47.0,200.0,199.5,47.5,IPC1
2025-08-05T23:28:40,elevator,NORMAL,46.6,200.0,200.5,46.5,IPC1
2025-08-05T23:28:41,gripper,NORMAL,43.1,200.0,199.5,48.0,IPC1
2025-08-05T23:28:42,elevator,NORMAL,38.6,200.0,200.5,143.0,IPC1
2025-08-05T23:28:43,elevator,NORMAL,37.1,200.0,199.5,47.5,IPC1
2025-08-05T23:28:44,elevator,NORMAL,36.8,200.0,199.5,200.5,IPC1
2025-08-05T23:28:45,elevator,ANOMALY,47.6,200.0,199.5,198.5,IPC1
2025-08-05T23:28:46,environment,ANOMALY,47.6,199.5,200.5,143.5,IPC1
2025-08-05T23:28:47,elevator,NORMAL,36.5,200.0,200.5,143.0,IPC1
2025-08-05T23:28:48,gripper,NORMAL,64.8,199.5,1719.0,1718.0,IPC1
2025-08-05T23:28:49,gripper,NORMAL,37.8,200.0,199.5,143.0,IPC1
2025-08-05T23:28:50,gripper,NORMAL,37.7,200.0,46.5,143.0,IPC1
2025-08-05T23:28:51,elevator,NORMAL,37.5,200.0,47.5,199.5,IPC1
2025-08-05T23:28:52,environment,ANOMALY,47.6,200.0,199.5,199.0,IPC1
2025-08-05T23:28:53,environment,ANOMALY,47.5,199.5,200.5,199.0,IPC1
2025-08-05T23:28:54,gripper,NORMAL,38.6,200.0,199.5,143.0,IPC1
2025-08-05T23:28:55,elevator,ANOMALY,60.1,232.0,231.5,434.0,IPC1
2025-08-05T23:28:56,elevator,ANOMALY,60.4,231.5,232.0,231.0,IPC1
2025-08-05T23:28:58,environment,NORMAL,38.9,200.0,143.0,199.5,IPC1
2025-08-05T23:28:59,environment,NORMAL,49.3,200.0,143.0,199.5,IPC1
2025-08-05T23:29:00,environment,NORMAL,50.0,200.0,143.0,47.5,IPC1
2025-08-05T23:29:01,elevator,NORMAL,38.7,200.0,143.0,199.5,IPC1
2025-08-05T23:29:02,environment,NORMAL,39.3,200.0,143.0,199.5,IPC1
2025-08-05T23:29:03,environment,NORMAL,37.6,200.0,143.0,47.5,IPC1
2025-08-05T23:29:04,elevator,NORMAL,46.2,200.0,143.0,200.5,IPC1
2025-08-05T23:29:05,gripper,NORMAL,72.3,1110.0,1429.5,1430.5,IPC1
2025-08-05T23:29:06,elevator,NORMAL,43.6,200.0,143.0,199.5,IPC1
