Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T13:33:34,environment,Normal,53.39,627.50,511.50,6000.00,IPC1
2025-08-12T13:33:35,environment,Normal,53.36,6000.00,629.00,510.50,IPC1
2025-08-12T13:33:36,environment,Normal,49.99,510.50,625.50,6000.00,IPC1
2025-08-12T13:33:37,environment,Normal,49.84,510.50,6000.00,631.00,IPC1
2025-08-12T13:33:39,environment,Normal,49.88,510.50,6000.00,671.00,IPC1
2025-08-12T13:33:40,environment,Normal,50.67,628.00,627.50,6000.00,IPC1
2025-08-12T13:33:41,environment,Normal,50.96,6000.00,510.00,510.50,IPC1
2025-08-12T13:33:42,environment,Normal,50.67,510.50,6000.00,1051.50,IPC1
2025-08-12T13:33:43,environment,Normal,56.39,477.00,591.50,476.50,IPC1
2025-08-12T13:33:44,environment,Normal,57.63,2453.50,2454.50,2456.00,IPC1
