Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:18:41,environment,Anomaly,109.07,408.00,406.00,400.00,IPC1
2025-08-12T12:18:42,gripper,Anomaly,109.08,407.50,440.00,411.00,IPC1
2025-08-12T12:18:43,gripper,Anomaly,88.65,605.50,542.00,607.00,IPC1
2025-08-12T12:18:44,gripper,Anomaly,90.07,519.50,518.50,538.00,IPC1
2025-08-12T12:18:45,gripper,Anomaly,93.41,487.00,490.00,487.50,IPC1
2025-08-12T12:18:46,gripper,Anomaly,94.08,489.50,488.50,488.00,IPC1
2025-08-12T12:18:47,gripper,Anomaly,91.49,523.00,519.00,522.00,IPC1
2025-08-12T12:18:48,gripper,Anomaly,89.03,10050.00,636.50,671.50,IPC1
2025-08-12T12:18:49,gripper,Anomaly,90.85,483.50,482.50,481.50,IPC1
2025-08-12T12:18:50,environment,Anomaly,92.74,523.00,561.50,547.00,IPC1
