Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T13:11:27,gripper,Normal,54.41,625.00,603.50,623.50,IPC1
2025-08-12T13:11:28,gripper,Normal,54.55,625.00,603.50,626.00,IPC1
2025-08-12T13:11:29,gripper,Normal,53.15,944.50,619.50,945.00,IPC1
2025-08-12T13:11:30,gripper,Normal,52.87,945.00,898.50,896.00,IPC1
2025-08-12T13:11:31,environment,Normal,50.50,443.50,511.50,1053.50,IPC1
2025-08-12T13:11:32,gripper,Normal,50.62,625.00,511.00,443.00,IPC1
2025-08-12T13:11:33,gripper,Normal,51.19,626.00,443.00,628.00,IPC1
2025-08-12T13:11:34,gripper,Normal,51.29,627.00,626.00,627.50,IPC1
2025-08-12T13:11:35,environment,Normal,51.59,1052.50,627.00,629.00,IPC1
2025-08-12T13:11:36,gripper,Normal,54.34,2348.50,2275.50,2277.00,IPC1
