Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T13:16:25,gripper,Anomaly,78.95,615.00,618.00,623.50,IPC1
2025-08-12T13:16:26,gripper,Anomaly,78.95,626.50,628.00,622.00,IPC1
2025-08-12T13:16:27,environment,Normal,59.40,410.50,414.00,413.50,IPC1
2025-08-12T13:16:28,environment,Anomaly,63.25,412.50,414.00,413.50,IPC1
2025-08-12T13:16:29,environment,Anomaly,64.83,459.00,460.50,459.50,IPC1
2025-08-12T13:16:30,environment,Anomaly,63.46,459.50,460.00,460.50,IPC1
2025-08-12T13:16:31,environment,Normal,59.23,515.00,517.00,516.50,IPC1
2025-08-12T13:16:32,gripper,Normal,55.85,517.50,515.50,513.50,IPC1
2025-08-12T13:16:33,gripper,Anomaly,65.43,591.50,588.50,587.00,IPC1
2025-08-12T13:16:34,environment,Anomaly,70.36,402.00,625.50,401.00,IPC1
