Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T11:20:52,environment,Normal,50.53,10050.00,3398.50,11025.00,IPC1
2025-08-12T11:20:53,environment,Normal,50.60,3398.00,10050.00,3398.50,IPC1
2025-08-12T11:20:54,environment,Normal,50.57,3398.50,2307.50,3397.50,IPC1
2025-08-12T11:20:55,environment,Normal,50.92,2277.00,2278.00,2274.50,IPC1
2025-08-12T11:20:56,environment,Normal,50.89,2278.50,2275.00,2274.50,IPC1
2025-08-12T11:20:57,environment,Normal,55.94,498.00,497.50,497.00,IPC1
2025-08-12T11:20:58,environment,Normal,57.11,498.00,497.50,657.50,IPC1
2025-08-12T11:20:59,environment,Normal,53.96,638.50,638.00,640.00,IPC1
2025-08-12T11:21:00,environment,Normal,53.26,416.00,414.00,414.50,IPC1
2025-08-12T11:21:01,environment,Normal,54.00,447.00,596.00,606.00,IPC1
