Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:26:02,gripper,Anomaly,75.44,1425.00,416.00,1432.00,IPC1
2025-08-12T12:26:03,gripper,Anomaly,75.47,1158.50,1160.50,1067.50,IPC1
2025-08-12T12:26:04,gripper,Anomaly,62.95,1260.00,1249.50,1174.00,IPC1
2025-08-12T12:26:05,gripper,Anomaly,61.73,1249.00,1260.00,1249.50,IPC1
2025-08-12T12:26:06,gripper,Normal,53.63,623.00,10050.00,659.50,IPC1
2025-08-12T12:26:07,gripper,Normal,51.53,623.00,10050.00,569.50,IPC1
2025-08-12T12:26:08,gripper,Normal,53.10,439.00,671.00,519.50,IPC1
2025-08-12T12:26:09,mast,Normal,57.28,413.00,412.50,419.00,IPC1
2025-08-12T12:26:10,mast,Normal,56.95,418.50,412.50,412.00,IPC1
2025-08-12T12:26:11,environment,Normal,57.41,3176.00,3175.50,3177.00,IPC1
