Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T13:34:49,gripper,Anomaly,75.76,512.00,504.00,509.00,IPC1
2025-08-12T13:34:50,gripper,Anomaly,75.77,511.00,510.00,510.50,IPC1
2025-08-12T13:34:51,environment,Normal,51.58,509.50,6000.00,631.00,IPC1
2025-08-12T13:34:52,environment,Normal,51.72,6000.00,509.50,510.00,IPC1
2025-08-12T13:34:53,environment,Normal,52.09,510.00,6000.00,1050.50,IPC1
2025-08-12T13:34:54,environment,Normal,51.41,1050.00,626.50,626.00,IPC1
2025-08-12T13:34:55,environment,Normal,51.39,626.50,630.50,6000.00,IPC1
2025-08-12T13:34:56,environment,Normal,57.60,607.50,681.50,788.50,IPC1
2025-08-12T13:34:57,environment,Normal,57.33,607.50,629.00,681.50,IPC1
2025-08-12T13:34:58,environment,Normal,54.17,452.00,453.00,452.50,IPC1
