Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:46:20,environment,Anomaly,72.33,727.50,736.50,734.50,IPC1
2025-08-12T12:46:21,gripper,Anomaly,72.28,725.50,751.00,734.50,IPC1
2025-08-12T12:46:22,environment,Normal,52.41,625.00,10050.00,623.50,IPC1
2025-08-12T12:46:23,environment,Normal,51.72,625.00,10050.00,673.00,IPC1
2025-08-12T12:46:24,gripper,Normal,51.09,625.00,10050.00,571.00,IPC1
2025-08-12T12:46:25,gripper,Normal,50.47,10050.00,625.00,571.50,IPC1
2025-08-12T12:46:26,environment,Normal,50.32,625.00,10050.00,11025.00,IPC1
2025-08-12T12:46:27,environment,Normal,49.96,10050.00,625.00,480.50,IPC1
2025-08-12T12:46:28,environment,Normal,50.46,10050.00,565.00,769.00,IPC1
2025-08-12T12:46:29,environment,Normal,50.08,624.50,10050.00,769.00,IPC1
