Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T11:46:55,environment,Anomaly,63.74,703.50,704.00,703.00,IPC1
2025-08-12T11:46:56,environment,Anomaly,64.27,706.00,703.50,704.00,IPC1
2025-08-12T11:46:57,environment,Anomaly,60.20,400.00,400.50,560.50,IPC1
2025-08-12T11:46:58,environment,Anomaly,60.75,554.50,554.00,559.00,IPC1
2025-08-12T11:46:59,environment,Anomaly,60.16,482.50,495.00,491.50,IPC1
2025-08-12T11:47:00,environment,Anomaly,64.68,478.00,476.50,492.50,IPC1
2025-08-12T11:47:01,environment,Anomaly,64.12,478.00,479.50,477.50,IPC1
2025-08-12T11:47:02,environment,Anomaly,64.75,495.50,496.00,498.50,IPC1
2025-08-12T11:47:03,environment,Anomaly,65.06,496.00,496.50,497.00,IPC1
2025-08-12T11:47:04,environment,Normal,59.65,2052.50,2055.00,2124.00,IPC1
