Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T13:10:23,gripper,Anomaly,76.46,3116.50,3074.50,3117.00,IPC1
2025-08-12T13:10:24,gripper,Anomaly,76.51,3117.00,3074.00,3075.00,IPC1
2025-08-12T13:10:25,gripper,Normal,59.30,4936.00,4935.00,4937.00,IPC1
2025-08-12T13:10:26,gripper,Normal,56.98,4932.50,3222.00,4935.00,IPC1
2025-08-12T13:10:27,gripper,Normal,54.10,2954.50,2966.00,2968.50,IPC1
2025-08-12T13:10:28,mast,Normal,50.78,624.00,864.50,624.50,IPC1
2025-08-12T13:10:29,environment,Normal,54.49,3166.00,3165.50,3167.00,IPC1
2025-08-12T13:10:30,gripper,Normal,56.54,3067.00,3044.00,3062.50,IPC1
2025-08-12T13:10:31,gripper,Normal,54.69,3067.00,3069.00,3066.50,IPC1
2025-08-12T13:10:32,gripper,Normal,52.33,3359.50,630.50,442.50,IPC1
