Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:41:22,shuttle,Normal,58.30,1329.00,1329.50,1330.50,IPC1
2025-08-12T12:41:23,mast,Normal,59.70,1329.00,1330.50,1329.50,IPC1
2025-08-12T12:41:24,mast,Anomaly,61.23,4808.50,1114.00,4807.00,IPC1
2025-08-12T12:41:25,gripper,Anomaly,61.06,4808.50,1113.50,1065.00,IPC1
2025-08-12T12:41:26,gripper,Anomaly,60.98,1111.50,1256.00,1112.00,IPC1
2025-08-12T12:41:27,environment,Anomaly,70.23,1439.00,1167.50,1165.50,IPC1
2025-08-12T12:41:28,gripper,Anomaly,70.34,602.00,601.50,1261.00,IPC1
2025-08-12T12:41:29,shuttle,Anomaly,78.08,5166.50,1878.00,1890.00,IPC1
2025-08-12T12:41:30,gripper,Anomaly,78.06,3101.00,5163.00,1252.00,IPC1
2025-08-12T12:41:31,shuttle,Anomaly,66.66,1250.50,1251.00,1251.50,IPC1
