Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T13:33:24,environment,Normal,49.52,628.00,510.00,1050.00,IPC1
2025-08-12T13:33:25,mast,Normal,50.02,623.00,626.00,509.50,IPC1
2025-08-12T13:33:26,environment,Normal,50.17,510.00,6000.00,479.50,IPC1
2025-08-12T13:33:27,environment,Normal,50.37,625.00,510.00,626.50,IPC1
2025-08-12T13:33:28,environment,Normal,50.44,625.00,510.00,627.00,IPC1
2025-08-12T13:33:29,environment,Normal,49.99,510.00,1051.00,6000.00,IPC1
2025-08-12T13:33:30,environment,Normal,50.30,479.00,510.00,6000.00,IPC1
2025-08-12T13:33:31,environment,Normal,50.45,510.50,485.00,6000.00,IPC1
2025-08-12T13:33:32,environment,Normal,55.79,2493.50,2494.00,2493.00,IPC1
2025-08-12T13:33:33,environment,Normal,55.78,2493.50,2494.00,2493.00,IPC1
