Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:36:47,environment,Normal,58.99,523.00,523.50,522.50,IPC1
2025-08-12T12:36:48,environment,Normal,57.85,698.00,698.50,697.50,IPC1
2025-08-12T12:36:49,gripper,Normal,54.85,698.00,698.50,697.50,IPC1
2025-08-12T12:36:50,gripper,Normal,57.41,659.50,659.00,660.00,IPC1
2025-08-12T12:36:51,environment,Anomaly,61.03,523.50,830.50,516.50,IPC1
2025-08-12T12:36:52,environment,Normal,59.87,517.00,524.00,523.00,IPC1
2025-08-12T12:36:53,environment,Normal,53.64,523.50,523.00,522.50,IPC1
2025-08-12T12:36:54,environment,Normal,53.64,765.50,762.50,770.00,IPC1
2025-08-12T12:36:55,environment,Anomaly,60.84,1411.00,2049.50,1410.00,IPC1
2025-08-12T12:36:56,environment,Anomaly,62.35,2145.50,2145.00,2044.00,IPC1
