Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-11T16:30:33,environment,Anomaly,67.3,405.0,607.0,490.5,IPC1
2025-08-11T16:30:34,environment,Anomaly,66.8,405.0,607.5,607.0,IPC1
2025-08-11T16:30:35,environment,Anomaly,67.8,404.5,452.0,607.0,IPC1
2025-08-11T16:30:36,environment,Anomaly,67.9,405.0,441.0,441.5,IPC1
2025-08-11T16:30:37,environment,Anomaly,67.1,405.0,441.0,444.0,IPC1
2025-08-11T16:30:38,environment,Anomaly,67.2,607.5,405.5,443.5,IPC1
2025-08-11T16:30:39,environment,Anomaly,67.1,405.0,607.0,439.0,IPC1
2025-08-11T16:30:40,environment,Anomaly,67.2,607.0,405.0,448.5,IPC1
2025-08-11T16:30:41,environment,Anomaly,67.3,607.5,607.0,448.5,IPC1
2025-08-11T16:30:42,environment,Anomaly,67.2,405.0,607.0,431.5,IPC1
