Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:37:51,shuttle,Anomaly,73.73,1572.50,5489.50,5500.00,IPC1
2025-08-12T12:37:52,elevator,Anomaly,73.85,2060.00,544.50,1218.00,IPC1
2025-08-12T12:37:53,environment,Anomaly,65.63,2279.00,2279.50,2277.50,IPC1
2025-08-12T12:37:54,environment,Anomaly,65.04,2279.00,2278.00,2279.50,IPC1
2025-08-12T12:37:55,environment,Anomaly,64.24,2278.50,2283.00,2280.00,IPC1
2025-08-12T12:37:56,elevator,Anomaly,69.74,5082.50,5138.00,5405.00,IPC1
2025-08-12T12:37:57,elevator,Anomaly,71.93,5520.00,5082.50,5512.00,IPC1
2025-08-12T12:37:58,elevator,Anomaly,71.45,5520.00,5576.00,5570.00,IPC1
2025-08-12T12:37:59,elevator,Anomaly,70.46,5510.00,5473.50,5145.50,IPC1
2025-08-12T12:38:00,elevator,Anomaly,69.09,5552.50,5510.00,5505.50,IPC1
