Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-11T15:43:10,environment,Normal,68.5,589.5,587.5,585.5,IPC1
2025-08-11T15:43:11,environment,Normal,68.2,589.5,587.5,590.0,IPC1
2025-08-11T15:43:12,environment,Normal,68.5,545.0,552.0,545.5,IPC1
2025-08-11T15:43:13,environment,Normal,68.6,545.5,545.0,529.0,IPC1
2025-08-11T15:43:14,environment,Normal,68.3,431.5,433.5,514.5,IPC1
2025-08-11T15:43:15,environment,Normal,69.4,405.0,402.5,402.0,IPC1
2025-08-11T15:43:16,environment,Normal,69.8,405.0,401.5,402.0,IPC1
2025-08-11T15:43:17,environment,Normal,69.3,499.0,500.0,405.0,IPC1
2025-08-11T15:43:18,environment,Normal,68.5,499.0,499.5,497.5,IPC1
2025-08-11T15:43:19,environment,Normal,69.4,580.0,582.5,579.5,IPC1
