Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T13:26:31,environment,Anomaly,80.20,875.00,875.50,870.00,IPC1
2025-08-12T13:26:32,environment,Anomaly,83.33,1376.00,899.00,1364.50,IPC1
2025-08-12T13:26:33,environment,Anomaly,71.01,521.50,772.50,519.00,IPC1
2025-08-12T13:26:34,gripper,Anomaly,63.14,757.50,759.00,758.50,IPC1
2025-08-12T13:26:35,environment,Anomaly,62.67,757.00,759.00,757.50,IPC1
2025-08-12T13:26:36,environment,Anomaly,60.19,647.00,655.50,645.50,IPC1
2025-08-12T13:26:37,environment,Normal,58.81,646.50,647.00,646.00,IPC1
2025-08-12T13:26:38,environment,Normal,58.23,520.00,503.00,501.50,IPC1
2025-08-12T13:26:39,environment,Normal,58.80,501.50,767.50,519.50,IPC1
2025-08-12T13:26:40,gripper,Anomaly,60.28,2670.00,2711.50,3305.50,IPC1
