Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T13:42:35,gripper,Anomaly,79.58,2906.50,2906.00,2901.00,IPC1
2025-08-12T13:42:36,gripper,Anomaly,79.92,2901.00,2906.00,2906.50,IPC1
2025-08-12T13:42:37,gripper,Anomaly,82.52,562.50,562.00,2520.50,IPC1
2025-08-12T13:42:38,shuttle,Anomaly,84.64,563.00,562.50,562.00,IPC1
2025-08-12T13:42:39,gripper,Anomaly,80.88,591.50,592.50,592.00,IPC1
2025-08-12T13:42:40,gripper,Anomaly,77.32,434.00,432.50,435.50,IPC1
2025-08-12T13:42:41,gripper,Anomaly,80.38,418.00,418.50,419.50,IPC1
2025-08-12T13:42:42,gripper,Anomaly,78.25,418.00,418.50,400.50,IPC1
2025-08-12T13:42:43,environment,Anomaly,69.73,433.50,401.50,402.50,IPC1
2025-08-12T13:42:45,environment,Anomaly,79.68,401.00,405.00,402.00,IPC1
