Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:32:33,elevator,Anomaly,69.50,5484.50,5540.50,5450.50,IPC1
2025-08-12T12:32:34,elevator,Anomaly,69.87,5481.50,5399.50,5484.50,IPC1
2025-08-12T12:32:35,elevator,Anomaly,69.84,5481.50,3280.50,5885.50,IPC1
2025-08-12T12:32:36,elevator,Anomaly,68.63,5454.00,5473.00,5884.00,IPC1
2025-08-12T12:32:37,elevator,Anomaly,63.07,3207.50,3207.00,5769.00,IPC1
2025-08-12T12:32:38,elevator,Normal,54.07,2099.00,2098.50,2100.00,IPC1
2025-08-12T12:32:39,gripper,Normal,55.03,2098.50,2099.00,2098.00,IPC1
2025-08-12T12:32:40,elevator,Anomaly,64.22,734.50,735.00,1102.00,IPC1
2025-08-12T12:32:41,elevator,Anomaly,67.01,737.00,734.50,740.50,IPC1
2025-08-12T12:32:42,elevator,Anomaly,64.58,737.00,737.50,738.00,IPC1
