Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:23:45,gripper,Anomaly,63.95,1324.50,2071.50,2068.50,IPC1
2025-08-12T12:23:46,gripper,Anomaly,64.13,547.00,549.00,544.00,IPC1
2025-08-12T12:23:47,gripper,Anomaly,65.20,547.50,589.00,549.00,IPC1
2025-08-12T12:23:48,gripper,Anomaly,67.30,587.00,1422.50,548.00,IPC1
2025-08-12T12:23:49,gripper,Anomaly,65.10,587.00,587.50,586.50,IPC1
2025-08-12T12:23:50,gripper,Normal,54.92,950.00,1052.00,948.50,IPC1
2025-08-12T12:23:51,mast,Normal,55.22,1052.00,2274.50,575.50,IPC1
2025-08-12T12:23:52,mast,Normal,57.38,2274.50,1052.00,767.50,IPC1
2025-08-12T12:23:53,gripper,Normal,58.36,2274.50,2379.50,2349.50,IPC1
2025-08-12T12:23:54,gripper,Normal,59.21,2274.50,770.50,2332.00,IPC1
