Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:48:06,environment,Anomaly,61.93,422.00,485.50,426.00,IPC1
2025-08-12T12:48:07,environment,Anomaly,62.23,486.00,485.00,431.00,IPC1
2025-08-12T12:48:08,environment,Normal,54.92,569.50,627.50,627.00,IPC1
2025-08-12T12:48:09,environment,Normal,55.32,572.00,10050.00,571.00,IPC1
2025-08-12T12:48:10,gripper,Normal,57.71,572.00,563.50,682.00,IPC1
2025-08-12T12:48:11,gripper,Normal,56.28,602.00,508.00,676.50,IPC1
2025-08-12T12:48:12,gripper,Normal,52.49,677.00,10050.00,768.50,IPC1
2025-08-12T12:48:13,environment,Normal,50.63,10050.00,508.00,624.50,IPC1
2025-08-12T12:48:14,mast,Anomaly,80.39,952.50,951.00,954.00,IPC1
2025-08-12T12:48:15,mast,Anomaly,80.40,949.50,952.50,954.50,IPC1
