Timestamp,Component,Status,dB,TopFreq1,TopFreq2,TopFreq3,Tester_id
2025-08-12T12:48:27,environment,Anomaly,78.54,508.50,513.00,509.50,IPC1
2025-08-12T12:48:28,environment,Anomaly,78.55,518.50,508.50,509.50,IPC1
2025-08-12T12:48:29,gripper,Normal,53.67,568.00,768.50,669.50,IPC1
2025-08-12T12:48:30,gripper,Normal,52.77,10050.00,568.50,6000.00,IPC1
2025-08-12T12:48:31,environment,Normal,51.87,514.50,10050.00,565.00,IPC1
2025-08-12T12:48:32,environment,Normal,52.17,10050.00,624.50,563.00,IPC1
2025-08-12T12:48:33,environment,Normal,52.77,508.00,10050.00,480.50,IPC1
2025-08-12T12:48:34,environment,Normal,53.89,508.00,10050.00,961.00,IPC1
2025-08-12T12:48:35,environment,Normal,55.16,508.00,10050.00,575.50,IPC1
2025-08-12T12:48:36,environment,Normal,54.86,10050.00,507.50,11025.00,IPC1
